jichang,shijian,xuhao,lichangliuliang
ZBAA,24,32,5
ZBAA,24,33,5
ZBAA,24,34,6
ZBAA,24,35,6
ZBAA,24,36,5
ZBAA,24,37,11
ZBAA,24,38,9
ZBAA,24,39,7
ZBAA,24,40,9
ZBAA,24,41,5
ZBAA,24,42,9
ZBAA,24,43,8
ZBAA,24,44,7
ZBAA,24,45,6
ZBAA,24,46,7
ZBAA,24,47,8
ZBAA,24,48,7
ZBAA,25,1,16
ZBAA,25,2,19
ZBAA,25,3,21
ZBAA,25,4,14
ZBAA,25,5,12
ZBAA,25,6,10
ZBAA,25,7,18
ZBAA,25,8,16
ZBAA,25,9,14
ZBAA,25,10,16
ZBAA,25,11,18
ZBAA,25,12,20
ZBAA,25,13,15
ZBAA,25,14,12
ZBAA,25,15,15
ZBAA,25,16,12
ZBAA,25,17,12
ZBAA,25,18,18
ZBAA,25,19,19
ZBAA,25,20,16
ZBAA,25,21,18
ZBAA,25,22,14
ZBAA,25,23,16
ZBAA,25,24,16
ZBAA,25,25,17
ZBAA,25,26,21
ZBAA,25,27,15
ZBAA,25,28,15
ZBAA,25,29,15
ZBAA,25,30,14
ZBAA,25,31,12
ZBAA,25,32,16
ZBAA,25,33,17
ZBAA,25,34,13
ZBAA,25,35,16
ZBAA,25,36,17
ZBAA,25,37,13
ZBAA,25,38,20
ZBAA,25,39,13
ZBAA,25,40,13
ZBAA,25,41,14
ZBAA,25,42,18
ZBAA,25,43,13
ZBAA,25,44,18
ZBAA,25,45,15
ZBAA,25,46,15
ZBAA,25,47,21
ZBAA,25,48,14
ZBAA,25,49,19
ZBAA,25,50,20
ZBAA,26,1,13
ZBAA,26,2,21
ZBAA,26,3,22
ZBAA,26,4,21
ZBAA,26,5,25
ZBAA,26,6,12
ZBAA,26,7,16
ZBAA,26,8,18
ZBAA,26,9,21
ZBAA,26,10,20
ZBAA,26,11,26
ZBAA,26,12,19
ZBAA,26,13,17
ZBAA,26,14,14
ZBAA,26,15,17
ZBAA,26,16,16
ZBAA,26,17,13
ZBAA,26,18,12
ZBAA,26,19,20
ZBAA,26,20,15
ZBAA,26,21,19
ZBAA,26,22,16
ZBAA,26,23,19
ZBAA,26,24,18
ZBAA,26,25,15
ZBAA,26,26,19
ZBAA,26,27,11
ZBAA,26,28,13
ZBAA,26,29,16
ZBAA,26,30,20
ZBAA,26,31,15
ZBAA,26,32,18
ZBAA,26,33,21
ZBAA,26,34,19
ZBAA,26,35,16
ZBAA,26,36,12
ZBAA,26,37,8
