,jichang,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
143,ZBAA,46,15,1,17,0.06,0.08,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
144,ZBAA,46,15,1,18,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
145,ZBAA,47,15,1,6,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
146,ZBAA,47,15,1,8,0.04,0.9800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
147,ZBAA,47,15,1,9,0.04,0.9400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
148,ZBAA,47,15,1,10,0.14,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
149,ZBAA,47,15,1,11,0.06,0.7600000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
150,ZBAA,47,15,1,12,0.1,0.7000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
151,ZBAA,47,15,1,13,0.22,0.6000000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
152,ZBAA,47,15,1,14,0.18,0.38000000000000006,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
153,ZBAA,47,15,1,15,0.14,0.19999999999999998,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
154,ZBAA,47,15,1,16,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
155,ZBAA,47,15,1,17,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
156,ZBAA,47,15,1,18,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
157,ZBAA,48,15,1,5,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
158,ZBAA,48,15,1,7,0.04,0.9800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
159,ZBAA,48,15,1,8,0.04,0.9400000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
160,ZBAA,48,15,1,9,0.12,0.9,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
161,ZBAA,48,15,1,10,0.1,0.7800000000000001,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
162,ZBAA,48,15,1,11,0.18,0.6800000000000002,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
163,ZBAA,48,15,1,12,0.12,0.49999999999999994,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
164,ZBAA,48,15,1,13,0.1,0.37999999999999995,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
165,ZBAA,48,15,1,14,0.06,0.28,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
166,ZBAA,48,15,1,15,0.1,0.22000000000000003,0.95,0.92,0.89,0.86,0.83,0.95,0.92,0.89,0.86,0.83
