,shanqu,shike,quedingxingrongliang,quedingxingronglianggailv,buquedingxingrongliang,buquedingxingronglianggailv,leijiagailv,1,2,3,4,5,6,7,8,9,10
123,ZBAAAR04,45,16,1,13,0.1,0.48000000000000004,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
124,ZBAAAR04,45,16,1,14,0.12,0.38000000000000006,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
125,ZBAAAR04,45,16,1,15,0.08,0.26,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
126,ZBAAAR04,45,16,1,16,0.06,0.18,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
127,ZBAAAR04,45,16,1,17,0.08,0.12000000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
128,ZBAAAR04,45,16,1,18,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
129,ZBAAAR04,45,16,1,19,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
130,ZBAAAR04,46,14,1,7,0.04,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
131,ZBAAAR04,46,14,1,8,0.06,0.96,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
132,ZBAAAR04,46,14,1,9,0.12,0.8999999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
133,ZBAAAR04,46,14,1,10,0.22,0.78,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
134,ZBAAAR04,46,14,1,11,0.1,0.56,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
135,ZBAAAR04,46,14,1,12,0.14,0.4600000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
136,ZBAAAR04,46,14,1,13,0.1,0.32000000000000006,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
137,ZBAAAR04,46,14,1,14,0.08,0.21999999999999997,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
138,ZBAAAR04,46,14,1,15,0.08,0.14,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
139,ZBAAAR04,46,14,1,16,0.02,0.06,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
140,ZBAAAR04,46,14,1,17,0.02,0.04,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
141,ZBAAAR04,46,14,1,19,0.02,0.02,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
142,ZBAAAR04,47,14,1,5,0.02,1.0,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
143,ZBAAAR04,47,14,1,6,0.02,0.98,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
144,ZBAAAR04,47,14,1,7,0.04,0.96,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
145,ZBAAAR04,47,14,1,8,0.04,0.9199999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
146,ZBAAAR04,47,14,1,9,0.12,0.8800000000000001,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
147,ZBAAAR04,47,14,1,10,0.2,0.76,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
148,ZBAAAR04,47,14,1,11,0.22,0.5599999999999999,0.95,0.92,0.89,0.86,0.83,0.9166676666666667,0.8933343333333333,0.870001,0.8466676666666667,0.8233343333333334
